id,name,category,rating,latitude,longitude,tags
1,Sigiriya Rock Fortress,heritage,4.7,7.9570,80.7603,history;rock;unesco;hiking;viewpoint
2,Temple of the Tooth,temple,4.8,7.2936,80.6413,temple;history;culture;city
3,Yala National Park,safari,4.6,6.3725,81.5185,wildlife;safari;nature;adventure
4,Unawatuna Beach,beach,4.5,6.0100,80.2498,beach;sunset;swimming;relax
5,Mirissa Beach,beach,4.6,5.9483,80.4716,beach;whale watching;sunset;relax
6,Diyaluma Falls,waterfall,4.8,6.7391,81.0203,waterfall;hiking;nature;adventure
7,Ravana Falls,waterfall,4.4,6.8406,81.0532,waterfall;nature;roadside;scenic
8,Little Adams Peak,hiking,4.7,6.8660,81.0461,hiking;mountain;sunrise;viewpoint
9,Horton Plains National Park,hiking,4.7,6.8079,80.8022,hiking;nature;trail;wildlife
10,Galle Fort,heritage,4.7,6.0260,80.2169,history;fort;unesco;city;culture
11,Polonnaruwa Ancient City,heritage,4.6,7.9403,81.0188,history;ruins;unesco;culture
12,Nine Arches Bridge,scenic,4.7,6.8731,81.0603,bridge;scenic;train;photography
